campanha;rotulo_campanha;especie_CBRO;especie_CNAA;codigo_CNAA;nome_vulgar;familia;grupos;ordem;registros;data;mes;ano;estacao;local;latitude;longitude;imagem
4;fev-23-LG;Limosa haemastica;Limosa haemastica;LIMHA;maçarico-de-bico-virado;Scolopacidae;Maçaricos e Narcejas;Charadriiformes;2;13/02/2023;fevereiro;2023;seca;Lagoa de Guaraíras;-6,188437;-35,119253;limosa_haemastica.png
4;fev-23-LG;Numenius hudsonicus;Numenius phaeopus;NUMPH;maçarico-de-bico-torto;Scolopacidae;Maçaricos e Narcejas;Charadriiformes;200;13/02/2023;fevereiro;2023;seca;Lagoa de Guaraíras;-6,188437;-35,119253;numenius_hudsonicus.png
4;fev-23-LG;Tringa melanoleuca;Tringa melanoleuca;TRIME;maçarico-grande-de-perna-amarela;Scolopacidae;Maçaricos e Narcejas;Charadriiformes;16;13/02/2023;fevereiro;2023;seca;Lagoa de Guaraíras;-6,188437;-35,119253;tringa_melanoleuca.png
4;fev-23-LG;Tringa flavipes;Tringa flavipes;TRIFL;maçarico-de-perna-amarela;Scolopacidae;Maçaricos e Narcejas;Charadriiformes;1;13/02/2023;fevereiro;2023;seca;Lagoa de Guaraíras;-6,188437;-35,119253;tringa_flavipes.png
4;fev-23-LG;Actitis macularia;Actitis macularius;ACTMA;maçarico-pintado;Scolopacidae;Maçaricos e Narcejas;Charadriiformes;7;13/02/2023;fevereiro;2023;seca;Lagoa de Guaraíras;-6,188437;-35,119253;actitis_macularia.png
4;fev-23-LG;Tringa semipalmata;Catoptrophorus semipalmatus;CATSE;maçarico-de-asa-branca;Scolopacidae;Maçaricos e Narcejas;Charadriiformes;19;13/02/2023;fevereiro;2023;seca;Lagoa de Guaraíras;-6,188437;-35,119253;tringa_semipalmata.png
4;fev-23-LG;Arenaria interpres;Arenaria interpres;AREIN;vira-pedras;Scolopacidae;Maçaricos e Narcejas;Charadriiformes;21;13/02/2023;fevereiro;2023;seca;Lagoa de Guaraíras;-6,188437;-35,119253;arenaria_interpres.png
4;fev-23-LG;Calidris pusilla;Calidris pusilla;CALPU;maçarico-rasteirinho;Scolopacidae;Maçaricos e Narcejas;Charadriiformes;519;13/02/2023;fevereiro;2023;seca;Lagoa de Guaraíras;-6,188437;-35,119253;calidris_pusilla.png
4;fev-23-LG;Sterna spp.;Sterna spp.;TERNS;trinta-rés;Laridae;Gaivotas e Trinta-réis;Charadriiformes;4;13/02/2023;fevereiro;2023;seca;Lagoa de Guaraíras;-6,188437;-35,119253;sterna_spp.png
3;fev-23-IR;Ardea alba;Casmerodius albus;EGRAL;garça-branca-grande;Ardeidae;Garças e Socós;Pelecaniformes;30;14/02/2023;fevereiro;2023;seca;Ilha da Restinga;-6,996267;-34,85576;ardea_alba.png
3;fev-23-IR;Bubulcus ibis;Ardea ibis;BUBIB;garça-vaqueira;Ardeidae;Garças e Socós;Pelecaniformes;1;14/02/2023;fevereiro;2023;seca;Ilha da Restinga;-6,996267;-34,85576;bubulcus_ibis.png
3;fev-23-IR;Butorides striata;Butorides striatus;BUTST;socozinho;Ardeidae;Garças e Socós;Pelecaniformes;1;14/02/2023;fevereiro;2023;seca;Ilha da Restinga;-6,996267;-34,85576;butorides_striata.png
3;fev-23-IR;Egretta thula;Egretta thula;EGRTH;garça-branca-pequena;Ardeidae;Garças e Socós;Pelecaniformes;46;14/02/2023;fevereiro;2023;seca;Ilha da Restinga;-6,996267;-34,85576;egretta_thula.png
3;fev-23-IR;Nyctanassa violacea;Nyctanassa violacea;NYCVI;savacu-de-coroa;Ardeidae;Garças e Socós;Pelecaniformes;10;14/02/2023;fevereiro;2023;seca;Ilha da Restinga;-6,996267;-34,85576;nyctanassa_violacea.png
3;fev-23-IR;Nycticorax nycticorax;Nycticorax nycticorax;NYCNY;socó-dorminhoco;Ardeidae;Garças e Socós;Pelecaniformes;1;14/02/2023;fevereiro;2023;seca;Ilha da Restinga;-6,996267;-34,85576;nycticorax_nycticorax.png
3;fev-23-IR;Pluvialis squatarola;Pluvialis squatarola;PLUSQ;batuiruçu-de-axila-preta;Charadriidae;Batuiruçus e Batuíras;Charadriiformes;30;14/02/2023;fevereiro;2023;seca;Ilha da Restinga;-6,996267;-34,85576;pluvialis_squatarola.png
3;fev-23-IR;Charadrius semipalmatus;Charadrius semipalmatus;CHASE;batuíra-de-bando;Charadriidae;Batuiruçus e Batuíras;Charadriiformes;129;14/02/2023;fevereiro;2023;seca;Ilha da Restinga;-6,996267;-34,85576;charadrius_semipalmatus.png
