contagem	especie_CBRO	especie_CNAA	codigo_CNAA	nome_vulgar	familia	grupos	ordem	registros	data	mes	ano	local	latitude	longitude	estacao	imagem
3	Tringa semipalmata	Catoptrophorus semipalmatus	CATSE	ma‡arico-de-asa-branca	Scolopacidae	Ma‡aricos e Narcejas	Charadriiformes	19	13/02/2023	fevereiro	2023	Lagoa de Guara¡ras	-6,188437	-35,119253	seca	tringa_sempalmata.png
3	Arenaria interpres	Arenaria interpres	AREIN	vira-pedras	Scolopacidae	Ma‡aricos e Narcejas	Charadriiformes	21	13/02/2023	fevereiro	2023	Lagoa de Guara¡ras	-6,188437	-35,119253	seca	arenaria_interpres.png
3	Calidris pusilla	Calidris pusilla	CALPU	ma‡arico-rasteirinho	Scolopacidae	Ma‡aricos e Narcejas	Charadriiformes	519	13/02/2023	fevereiro	2023	Lagoa de Guara¡ras	-6,188437	-35,119253	seca	calidris_pusilla.png
3	Sterna spp.	Sterna spp.	TERNS	trinta-r‚s	Laridae	Gaivotas e Trinta-r‚is	Charadriiformes	4	13/02/2023	fevereiro	2023	Lagoa de Guara¡ras	-6,188437	-35,119253	seca	sterna_spp.png
4	Ardea alba	Casmerodius albus	EGRAL	gra‡a-branca-grande	Ardeidae	Gar‡as e Soc¢s	Pelecaniformes	30	14/02/2023	fevereiro	2023	Ilha da Restinga	-6,996267	-34,85576	seca	ardea_alba.png
4	Bubulcus ibis	Ardea ibis	BUBIB	gar‡a-vaqueira	Ardeidae	Gar‡as e Soc¢s	Pelecaniformes	1	14/02/2023	fevereiro	2023	Ilha da Restinga	-6,996267	-34,85576	seca	bubulcus_ibis.png
4	Butorides striata	Butorides striatus	BUTST	socozinho	Ardeidae	Gar‡as e Soc¢s	Pelecaniformes	1	14/02/2023	fevereiro	2023	Ilha da Restinga	-6,996267	-34,85576	seca	butorides_striata.png
4	Egretta thula	Egretta thula	EGRTH	gar‡a-branca-pequena	Ardeidae	Gar‡as e Soc¢s	Pelecaniformes	46	14/02/2023	fevereiro	2023	Ilha da Restinga	-6,996267	-34,85576	seca	egretta_thula.png
4	Nyctanassa violacea	Nyctanassa violacea	NYCVI	savacu-de-coroa	Ardeidae	Gar‡as e Soc¢s	Pelecaniformes	10	14/02/2023	fevereiro	2023	Ilha da Restinga	-6,996267	-34,85576	seca	nyctanassa_violacea.png
4	Nycticorax nycticorax	Nycticorax nycticorax	NYCNY	soc¢-dorminhoco	Ardeidae	Gar‡as e Soc¢s	Pelecaniformes	1	14/02/2023	fevereiro	2023	Ilha da Restinga	-6,996267	-34,85576	seca	nycticorax_nycticorax.png
4	Pluvialis squatarola	Pluvialis squatarola	PLUSQ	batuiru‡u-de-axila-preta	Charadriidae	Batuiru‡us e Batu¡ras	Charadriiformes	30	14/02/2023	fevereiro	2023	Ilha da Restinga	-6,996267	-34,85576	seca	pluvialis_squatarola.png
4	Charadrius semipalmatus	Charadrius semipalmatus	CHASE	batu¡ra-de-bando	Charadriidae	Batuiru‡us e Batu¡ras	Charadriiformes	129	14/02/2023	fevereiro	2023	Ilha da Restinga	-6,996267	-34,85576	seca	charadrius_semipalmatus.png
4	Charadeius collaris	Charadeius collaris	CHACO	batu¡ra-de-coleira	Charadriidae	Batuiru‡us e Batu¡ras	Charadriiformes	1	14/02/2023	fevereiro	2023	Ilha da Restinga	-6,996267	-34,85576	seca	charadrius_collaris.png
4	Numenius hudsonicus	Numenius phaeopus	NUMPH	ma‡arico-de-bico-torto	Scolopacidae	Ma‡aricos e Narcejas	Charadriiformes	104	14/02/2023	fevereiro	2023	Ilha da Restinga	-6,996267	-34,85576	seca	numenius_hudsonicus.png
4	Tringa melanoleuca	Tringa melanoleuca	TRIME	ma‡arico-grande-de-perna-amarela	Scolopacidae	Ma‡aricos e Narcejas	Charadriiformes	2	14/02/2023	fevereiro	2023	Ilha da Restinga	-6,996267	-34,85576	seca	tringa_melanoleuca.png
4	Tringa flavipes	Tringa flavipes	TRIFL	ma‡arico-de-perna-amarela	Scolopacidae	Ma‡aricos e Narcejas	Charadriiformes	2	14/02/2023	fevereiro	2023	Ilha da Restinga	-6,996267	-34,85576	seca	tringa_flavipes.png
4	Actitis macularia	Actitis macularius	ACTMA	ma‡arico-pintado	Scolopacidae	Ma‡aricos e Narcejas	Charadriiformes	73	14/02/2023	fevereiro	2023	Ilha da Restinga	-6,996267	-34,85576	seca	actitis macularia.png
4	Tringa semipalmata	Catoptrophorus semipalmatus	CATSE	ma‡arico-de-asa-branca	Scolopacidae	Ma‡aricos e Narcejas	Charadriiformes	11	14/02/2023	fevereiro	2023	Ilha da Restinga	-6,996267	-34,85576	seca	tringa_sempalmata.png
4	Arenaria interpres	Arenaria interpres	AREIN	vira-pedras	Scolopacidae	Ma‡aricos e Narcejas	Charadriiformes	3	14/02/2023	fevereiro	2023	Ilha da Restinga	-6,996267	-34,85576	seca	arenaria_interpres.png
4	Calidris alba	Calidris alba	CALAA	ma‡arico-branco	Scolopacidae	Ma‡aricos e Narcejas	Charadriiformes	1	14/02/2023	fevereiro	2023	Ilha da Restinga	-6,996267	-34,85576	seca	calidris_alba.png
